"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Legislation_type","Geography","Geography_type","Number of stop and searches","Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported)","Population by ethnicity","Rate per 1,000 population by ethnicity","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","White Irish","ONS 2001 16+1","All","Lincolnshire","Police Force Area","30","10,521","3,278","9.15","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","White Irish","ONS 2001 16+1","All","Lincolnshire","Police Force Area","15","9,651","3,278","4.58","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White Irish","ONS 2001 16+1","All","Lincolnshire","Police Force Area","21","6,343","3,278","6.41","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","White Irish","ONS 2001 16+1","All","Lincolnshire","Police Force Area","15","6,999","3,278","4.58","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White Irish","ONS 2001 16+1","All","Lincolnshire","Police Force Area","14","8,942","3,278","4.27","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","White Irish","ONS 2001 16+1","All","Lincolnshire","Police Force Area","27","5,881","3,278","8.24","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","White Irish","ONS 2001 16+1","All","Lincolnshire","Police Force Area","17","3,812","3,278","5.19","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","White Irish","ONS 2001 16+1","All","Lincolnshire","Police Force Area","13","2,186","3,278","3.97","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","White Irish","ONS 2001 16+1","All","Lincolnshire","Police Force Area","9","2,048","3,278","2.75","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","White Irish","ONS 2001 16+1","All","Lincolnshire","Police Force Area","12","2546","3278","3.66","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","White Irish","ONS 2011 18+1","All","Lincolnshire","Police Force Area","13","2692","3278","3.97","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White Irish","ONS 2001 16+1","All","London, City of","Police Force Area","144","6,912","N/A","N/A","2.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White Irish","ONS 2001 16+1","All","London, City of","Police Force Area","134","7,581","N/A","N/A","1.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","White Irish","ONS 2001 16+1","All","London, City of","Police Force Area","111","7,300","N/A","N/A","1.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","White Irish","ONS 2001 16+1","All","London, City of","Police Force Area","71","5,420","N/A","N/A","1.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","White Irish","ONS 2001 16+1","All","London, City of","Police Force Area","37","4,078","N/A","N/A","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White Irish","ONS 2001 16+1","All","London, City of","Police Force Area","46","3,251","N/A","N/A","1.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","White Irish","ONS 2001 16+1","All","London, City of","Police Force Area","38","2,645","N/A","N/A","1.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White Irish","ONS 2001 16+1","All","London, City of","Police Force Area","25","2,231","N/A","N/A","1.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","White Irish","ONS 2001 16+1","All","London, City of","Police Force Area","17","1,539","N/A","N/A","1.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","White Irish","ONS 2001 16+1","All","London, City of","Police Force Area","15","1,322","N/A","N/A","1.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","White Irish","ONS 2001 16+1","All","London, City of","Police Force Area","21","1,122","N/A","N/A","1.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","White Irish","ONS 2001 16+1","All","London, City of","Police Force Area","16","1,004","N/A","N/A","1.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","White Irish","ONS 2001 16+1","All","London, City of","Police Force Area","12","1111","N/A","N/A","1.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","White Irish","ONS 2011 18+1","All","London, City of","Police Force Area","22","1930","N/A","N/A","1.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White Irish","ONS 2001 16+1","All","Merseyside","Police Force Area","139","47,870","13,342","10.42","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White Irish","ONS 2001 16+1","All","Merseyside","Police Force Area","211","64,607","13,342","15.81","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","White Irish","ONS 2001 16+1","All","Merseyside","Police Force Area","199","68,915","13,342","14.92","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","White Irish","ONS 2001 16+1","All","Merseyside","Police Force Area","158","59,659","13,342","11.84","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","White Irish","ONS 2001 16+1","All","Merseyside","Police Force Area","146","43,877","13,342","10.94","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White Irish","ONS 2001 16+1","All","Merseyside","Police Force Area","94","25,691","13,342","7.05","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","White Irish","ONS 2001 16+1","All","Merseyside","Police Force Area","101","29,117","13,342","7.57","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White Irish","ONS 2001 16+1","All","Merseyside","Police Force Area","137","35,855","13,342","10.27","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","White Irish","ONS 2001 16+1","All","Merseyside","Police Force Area","130","24,523","13,342","9.74","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","White Irish","ONS 2001 16+1","All","Merseyside","Police Force Area","26","6,450","13,342","1.95","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","White Irish","ONS 2001 16+1","All","Merseyside","Police Force Area","37","6,650","13,342","2.77","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","White Irish","ONS 2001 16+1","All","Merseyside","Police Force Area","82","9,257","13,342","6.15","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","White Irish","ONS 2001 16+1","All","Merseyside","Police Force Area","143","17576","13342","10.72","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","White Irish","ONS 2011 18+1","All","Merseyside","Police Force Area","211","29408","13342","15.81","0.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","White Irish","ONS 2001 16+1","All","Metropolitan Police","Police Force Area","4,435","294,467","175,794","25.23","1.5",""
